Radiologist ID,Date,Avg Temp (°C),Rainfall (mm),Travel Cost (£),Internet Issues at Home,Trainee Assigned,Supervised Session,Cold Session,Admin Work,Morning Shift Work Location,Afternoon Shift Work Location
R1,2023-07-03,15.025666,1.1000001,6.16,No,Yes,No,No,Yes,office,office
R2,2023-07-03,15.025666,1.1000001,13.16,No,Yes,No,No,No,office,office
R3,2023-07-03,15.025666,1.1000001,6.39,No,No,No,No,No,office,home
R4,2023-07-03,15.025666,1.1000001,13.35,No,No,No,No,No,home,home
R5,2023-07-03,15.025666,1.1000001,9.87,No,No,No,No,No,home,home
R6,2023-07-03,15.025666,1.1000001,7.13,Yes,No,No,No,No,office,office
R7,2023-07-03,15.025666,1.1000001,7.85,No,No,No,No,No,office,home
R8,2023-07-03,15.025666,1.1000001,5.96,No,No,No,No,Yes,home,home
R9,2023-07-03,15.025666,1.1000001,6.38,Yes,No,No,No,No,office,office
R10,2023-07-03,15.025666,1.1000001,9.42,No,No,No,No,No,office,home
R11,2023-07-03,15.025666,1.1000001,8.6,No,No,No,No,No,office,office
R1,2023-07-04,14.558999,10.8,12.45,No,No,No,No,No,office,home
R2,2023-07-04,14.558999,10.8,7.15,No,No,No,No,Yes,home,home
R3,2023-07-04,14.558999,10.8,13.81,No,Yes,No,No,No,office,office
R4,2023-07-04,14.558999,10.8,8.73,No,Yes,No,No,Yes,office,office
R5,2023-07-04,14.558999,10.8,5.83,No,No,No,No,No,office,office
R6,2023-07-04,14.558999,10.8,8.49,Yes,No,No,No,No,office,office
R7,2023-07-04,14.558999,10.8,13.36,No,No,No,No,No,office,office
R8,2023-07-04,14.558999,10.8,5.96,No,No,No,No,No,office,home
R9,2023-07-04,14.558999,10.8,6.38,No,No,No,No,No,home,home
R10,2023-07-04,14.558999,10.8,10.86,No,No,No,No,No,office,home
R11,2023-07-04,14.558999,10.8,8.6,No,No,No,No,No,home,home
R1,2023-07-05,15.009,16.8,8.51,Yes,No,No,No,No,office,office
R2,2023-07-05,15.009,16.8,16.91,No,No,No,No,No,office,office
R3,2023-07-05,15.009,16.8,6.39,No,No,No,No,No,office,home
R4,2023-07-05,15.009,16.8,7.9,No,No,No,No,No,office,office
R5,2023-07-05,15.009,16.8,15.68,No,Yes,No,No,Yes,office,office
R6,2023-07-05,15.009,16.8,22.06,No,Yes,No,No,Yes,office,office
R7,2023-07-05,15.009,16.8,15.53,No,No,No,No,Yes,home,home
R8,2023-07-05,15.009,16.8,12.51,No,No,No,No,No,home,home
R9,2023-07-05,15.009,16.8,11.41,Yes,No,No,No,No,office,office
R10,2023-07-05,15.009,16.8,11.15,No,No,No,No,Yes,office,home
R11,2023-07-05,15.009,16.8,12.15,No,No,No,No,No,home,home
R1,2023-07-06,16.063166,0.0,8.51,No,No,No,No,No,home,home
R2,2023-07-06,16.063166,0.0,13.16,No,No,No,No,No,home,home
R3,2023-07-06,16.063166,0.0,6.39,Yes,No,No,No,Yes,office,office
R4,2023-07-06,16.063166,0.0,8.73,No,No,No,No,No,home,office
R5,2023-07-06,16.063166,0.0,5.83,No,No,No,No,No,home,office
R6,2023-07-06,16.063166,0.0,6.9,No,No,No,No,No,home,office
R7,2023-07-06,16.063166,0.0,7.85,No,Yes,No,No,No,office,office
R8,2023-07-06,16.063166,0.0,5.96,No,Yes,No,No,No,office,office
R9,2023-07-06,16.063166,0.0,10.88,No,No,No,No,Yes,home,office
R10,2023-07-06,16.063166,0.0,5.51,No,No,No,No,No,office,home
R11,2023-07-06,16.063166,0.0,11.14,No,No,No,No,No,home,office
R1,2023-07-07,19.29025,0.0,8.12,No,No,No,No,No,home,office
R2,2023-07-07,19.29025,0.0,6.66,No,No,No,No,No,home,home
R3,2023-07-07,19.29025,0.0,6.39,No,No,No,No,No,office,home
R4,2023-07-07,19.29025,0.0,8.73,No,No,No,No,No,office,home
R5,2023-07-07,19.29025,0.0,5.46,No,No,No,No,No,home,home
R6,2023-07-07,19.29025,0.0,8.49,Yes,No,No,No,No,office,office
R7,2023-07-07,19.29025,0.0,9.42,No,No,No,No,No,office,home
R8,2023-07-07,19.29025,0.0,5.96,No,No,No,No,No,home,home
R9,2023-07-07,19.29025,0.0,13.01,No,Yes,No,No,No,office,office
